"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"RML","RESOLUTION MINERALS LTD","Materials","22/09/2017",4025055
"RMS","RAMELIUS RESOURCES LIMITED","Materials","31/03/2003",2411429646
"RMX","RED MOUNTAIN MINING LIMITED","Materials","01/09/2011",3423577
"RMY","RMA GLOBAL LIMITED","Media & Entertainment","05/07/2018",41845697
"RND","RAND MINING LIMITED","Materials","15/08/1985",88726499
"RNE","RENU ENERGY LIMITED","Utilities","12/09/2002",5082938
"RNT","RENT.COM.AU LIMITED","Media & Entertainment","26/05/1994",16370889
"RNU","RENASCOR RESOURCES LIMITED","Materials","15/12/2010",304966860
"RNX","RENEGADE EXPLORATION LIMITED","Materials","14/11/2006",27140734
"ROC","ROCKETBOOTS LIMITED","Software & Services","07/12/2021","SUSPENDED"
"ROG","RED SKY ENERGY LIMITED.","Energy","23/05/2007",21688909
"RON","RONIN RESOURCES LTD","Materials","16/12/2021",4787251
"ROO","ROOTS SUSTAINABLE AGRICULTURAL TECHNOLOGIES LTD","Capital Goods","07/12/2017","SUSPENDED"
"RPG","RAPTIS GROUP LIMITED","Real Estate Management & Development","17/07/1986",952295
"RPL","REGAL PARTNERS LIMITED","Financial Services","21/06/2019",749164866
"RPM","RPM AUTOMOTIVE GROUP LIMITED","Automobiles & Components","10/11/1983",15686511
"RR1","REACH RESOURCES LIMITED","Materials","06/11/2002",12242039
"RRL","REGIS RESOURCES LIMITED","Materials","19/02/1987",1608871661
"RRR","REVOLVER RESOURCES HOLDINGS LTD","Materials","23/09/2021",22587311
"RSG","RESOLUTE MINING LIMITED","Materials","11/01/1979",1075170257
"RSH","RESPIRI LIMITED","Health Care Equipment & Services","14/07/2000",33915806
"RTG","RTG MINING INC.","Materials","05/06/2014",48532022
"RTH","RAS TECHNOLOGY HOLDINGS LIMITED","Commercial & Professional Services","23/11/2021",58689987
"RTR","RUMBLE RESOURCES LIMITED","Materials","01/07/2011",30311362
"RUL","RPMGLOBAL HOLDINGS LIMITED","Software & Services","27/05/2008",536859694
"RVS","REVASUM INC.","Semiconductors & Semiconductor Equipment","04/12/2018","SUSPENDED"
"RVT","RICHMOND VANADIUM TECHNOLOGY LIMITED","Materials","13/12/2022",55458333
"RWC","RELIANCE WORLDWIDE CORPORATION LIMITED","Capital Goods","29/04/2016",3871464349
"RWD","REWARD MINERALS LTD","Materials","12/12/1991",6152035
"RWL","RUBICON WATER LIMITED","Technology Hardware & Equipment","02/09/2021",85083126
"RXH","REWARDLE HOLDINGS LIMITED","Media & Entertainment","07/10/2014","SUSPENDED"
"RXL","ROX RESOURCES LIMITED","Materials","27/04/2004",64636996
"RXLN","ROX RESOURCES LIMITED","Materials","27/04/2004",64636996
"RXM","REX MINERALS LIMITED","Materials","20/09/2007",211172959
"RYD","RYDER CAPITAL LIMITED","Not Applic","28/09/2015",94476080
"RZI","RAIZ INVEST LIMITED","Financial Services","21/06/2018",34846731
"S2R","S2 RESOURCES LTD","Materials","19/10/2015",58871539
"S32","SOUTH32 LIMITED","Materials","18/05/2015",17664108415
"S66","STAR COMBO PHARMA LIMITED","Household & Personal Products","16/05/2018",20262447
"SAN","SAGALIO ENERGY LIMITED","Energy","15/12/2011",1023301
"SB2","SALTER BROTHERS EMERGING COMPANIES LIMITED","Not Applic","16/06/2021",55648147
"SBM","ST BARBARA LIMITED","Materials","15/05/1969",237211410
"SBR","SABRE RESOURCES LIMITED","Materials","17/12/1987",7485239
"SBW","SHEKEL BRAINWEIGH LTD","Software & Services","20/11/2018",13068716
"SCG","SCENTRE GROUP","Equity Real Estate Investment Trusts (REITs)","25/06/2014",16676152769
"SCL","SCHROLE GROUP LTD","Software & Services","11/11/2013",6831459
"SCN","SCORPION MINERALS LIMITED","Materials","07/03/2007",8598580
"SCT","SCOUT SECURITY LIMITED","Consumer Services","25/08/2017","SUSPENDED"
"SDF","STEADFAST GROUP LIMITED","Insurance","02/08/2013",6217353594
"SDI","SDI LIMITED","Health Care Equipment & Services","07/11/1985",93309441
"SDR","SITEMINDER LIMITED","Software & Services","08/11/2021",1501698295
"SDV","SCIDEV LTD","Materials","02/05/2002",64533197
"SEC","SPHERIA EMERGING COMPANIES LIMITED","Not Applic","05/12/2017",132331393
"SEG","SPORTS ENTERTAINMENT GROUP LIMITED","Media & Entertainment","28/11/2000",52949678
"SEK","SEEK LIMITED","Media & Entertainment","19/04/2005",8349801254
"SEN","SENETAS CORPORATION LIMITED","Technology Hardware & Equipment","21/06/1984",25140534
"SEQ","SEQUOIA FINANCIAL GROUP LTD","Financial Services","19/09/2000",69699129
"SER","STRATEGIC ENERGY RESOURCES LIMITED","Materials","15/08/1991",5829782
"SES","SECOS GROUP LTD","Materials","21/11/1996",20881351
"SFC","SCHAFFER CORPORATION LIMITED","Automobiles & Components","01/01/1974",264752612
"SFG","SEAFARMS GROUP LIMITED","Food, Beverage & Tobacco","14/06/1990",14509798
"SFM","SANTA FE MINERALS LTD","Materials","07/10/2011",2912752
"SFR","SANDFIRE RESOURCES LIMITED","Materials","04/03/2004",4582737881
"SFX","SHEFFIELD RESOURCES LIMITED","Materials","15/12/2010",188721555
"SGA","SARYTOGAN GRAPHITE LIMITED","Materials","18/07/2022",29746665
"SGC","SACGASCO LIMITED","Energy","11/10/2005",5457810
"SGF","SG FLEET GROUP LIMITED","Commercial & Professional Services","04/03/2014",1060153252
"SGI","STEALTH GROUP HOLDINGS LTD","Capital Goods","02/10/2018",21199634
"SGLLV","RICEGROWERS LIMITED","Food, Beverage & Tobacco","08/04/2019",454570827
"SGM","SIMS LIMITED","Materials","21/10/2005",2129170530
"SGP","STOCKLAND","Equity Real Estate Investment Trusts (REITs)","19/02/1987",10861631062
"SGQ","ST GEORGE MINING LIMITED","Materials","16/11/2010",17793728
"SGR","THE STAR ENTERTAINMENT GROUP LIMITED","Consumer Services","06/06/2011",1434340439
"SHA","SHAPE AUSTRALIA CORPORATION LIMITED","Capital Goods","17/12/2021",176997231
"SHE","STONEHORSE ENERGY LIMITED","Energy","24/07/2000",7529061
"SHG","SINGULAR HEALTH GROUP LTD","Health Care Equipment & Services","12/02/2021",21488836
"SHJ","SHINE JUSTICE LTD","Consumer Services","15/05/2013",121283268
"SHL","SONIC HEALTHCARE LIMITED","Health Care Equipment & Services","30/04/1987",12014903365
"SHM","SHRIRO HOLDINGS LIMITED","Consumer Durables & Apparel","23/06/2015",71347596
"SHN","SUNSHINE METALS LIMITED","Materials","25/01/2002",28577607
"SHO","SPORTSHERO LIMITED","Media & Entertainment","12/06/2008",2471331
"SHP","SOUTH HARZ POTASH LTD","Materials","20/01/2017",15716514
"SHV","SELECT HARVESTS LIMITED","Food, Beverage & Tobacco","15/06/1978",381334792
"SI6","SI6 METALS LIMITED","Materials","18/01/2008",9022508
"SIG","SIGMA HEALTHCARE LIMITED","Health Care Equipment & Services","30/10/2002",2031673338
"SIH","SIHAYO GOLD LIMITED","Materials","31/03/1988",24408512
"SIO","SIMONDS GROUP LIMITED","Consumer Durables & Apparel","17/11/2014",68382226
"SIQ","SMARTGROUP CORPORATION LTD","Commercial & Professional Services","02/07/2014",1127551396
"SIS","SIMBLE SOLUTIONS LIMITED","Software & Services","22/02/2018",2097117
"SIT","SITE GROUP INTERNATIONAL LIMITED","Consumer Services","21/08/1987",6506226
"SIV","SIV CAPITAL LIMITED","Capital Goods","31/05/2005",7339690
"SIX","SPRINTEX LIMITED","Automobiles & Components","29/05/2008",12856605
"SKC","SKYCITY ENTERTAINMENT GROUP LIMITED","Consumer Services","29/03/1999",1231532439
"SKN","SKIN ELEMENTS LIMITED","Household & Personal Products","06/01/2017",2357944
"SKO","SERKO LIMITED","Software & Services","25/06/2018",372847870
"SKS","SKS TECHNOLOGIES GROUP LIMITED","Capital Goods","01/01/1974",86192494
"SKT","SKY NETWORK TELEVISION LIMITED.","Media & Entertainment","04/07/2005",329097556
"SKY","SKY METALS LIMITED","Materials","11/03/2004",24761233
"SLB","STELAR METALS LIMITED","Class Pend","18/03/2022",4576171
"SLC","SUPERLOOP LIMITED","Telecommunication Services","04/06/2015",686468955
"SLH","SILK LOGISTICS HOLDINGS LIMITED","Transportation","09/07/2021",108050567
"SLM","SOLIS MINERALS LTD.","Materials","24/12/2021",10541386
"SLR","SILVER LAKE RESOURCES LIMITED","Materials","14/11/2007",1518959541
"SLS","SOLSTICE MINERALS LIMITED","Materials","02/05/2022",16555573
"SLX","SILEX SYSTEMS LIMITED","Capital Goods","07/05/1998",1539289382
"SLZ","SULTAN RESOURCES LTD","Materials","16/08/2018",1975865
"SM1","SYNLAIT MILK LIMITED","Food, Beverage & Tobacco","25/11/2016",96175931
"SMI","SANTANA MINERALS LIMITED","Materials","31/05/2013",240779695
"SMN","STRUCTURAL MONITORING SYSTEMS PLC","Technology Hardware & Equipment","16/08/2004",51301953
"SMP","SMARTPAY HOLDINGS LIMITED","Financial Services","04/09/2013",274027707
"SMR","STANMORE RESOURCES LIMITED","Materials","09/12/2009",2947550643
"SMS","STAR MINERALS LIMITED","Materials","27/10/2021",2201761
"SNC","SANDON CAPITAL INVESTMENTS LIMITED","Not Applic","23/12/2013",100791470
"SND","SAUNDERS INTERNATIONAL LIMITED","Capital Goods","05/12/2007",101727700
"SNG","SIREN GOLD LIMITED","Materials","07/10/2020",18234777
"SNL","SUPPLY NETWORK LIMITED","Consumer Discretionary Distribution & Retail","10/09/1987",938537669
"SNS","SENSEN NETWORKS LIMITED","Software & Services","31/05/2007",19393359
"SNT","SYNTARA LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","10/11/2003",22686604
"SNX","SIERRA NEVADA GOLD INC.","Materials","03/05/2022",5781694
"SNZ","SUMMERSET GROUP HOLDINGS LIMITED","Health Care Equipment & Services","18/07/2013",2193566126
"SOC","SOCO CORPORATION LTD","Software & Services","23/12/2022",14516278
"SOL","WASHINGTON H SOUL PATTINSON & COMPANY LIMITED","Financial Services","21/01/1903",11550971616
"SOM","SOMNOMED LIMITED","Health Care Equipment & Services","27/08/2004",55107605
"SOP","SYNERTEC CORPORATION LIMITED","Commercial & Professional Services","28/05/2013",42065380
"SOR","STRATEGIC ELEMENTS LIMITED","Financial Services","11/08/2011",26816006
"SOV","SOVEREIGN CLOUD HOLDINGS LIMITED","Software & Services","14/12/2020",47433359
"SP3","SPECTUR LIMITED","Technology Hardware & Equipment","01/08/2017",4888418
"SP8","STREAMPLAY STUDIO LIMITED","Media & Entertainment","09/06/1971",9204990
"SPA","SPACETALK LTD","Software & Services","17/07/2001",8949407
"SPD","SOUTHERN PALLADIUM LIMITED","Materials","08/06/2022",47118750
"SPK","SPARK NEW ZEALAND LIMITED","Telecommunication Services","22/08/1991",6930073934
"SPL","STARPHARMA HOLDINGS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","28/09/2000",45324468
"SPN","SPARC TECHNOLOGIES LIMITED","Materials","03/07/1986",23854601
"SPQ","SUPERIOR RESOURCES LIMITED","Materials","12/11/2007",16009763
"SPR","SPARTAN RESOURCES LIMITED","Materials","11/12/2009",811868421
"SPX","SPENDA LIMITED","Software & Services","29/05/2002",30271205
"SPZ","SMART PARKING LIMITED","Commercial & Professional Services","09/01/2007",160667515
"SQ2","BLOCK INC.","Financial Services","20/01/2022",63732586024
"SQX","SQX RESOURCES LIMITED","Materials","20/02/2023",3031250
"SRG","SRG GLOBAL LIMITED","Capital Goods","17/08/2007",469197609
"SRH","SAFEROADS HOLDINGS LIMITED","Transportation","15/12/2005",2228976
"SRI","SIPA RESOURCES LIMITED","Materials","23/08/1990",3878688
"SRJ","SRJ TECHNOLOGIES GROUP PLC","Energy","18/09/2020",11016259
"SRK","STRIKE RESOURCES LIMITED","Materials","07/03/2000",13620000
"SRL","SUNRISE ENERGY METALS LIMITED","Materials","09/11/2007",53234224
"SRN","SUREFIRE RESOURCES NL","Materials","11/06/1999",19863078
"SRR","SARAMA RESOURCES LTD","Materials","02/05/2022",4046288
"SRT","STRATA INVESTMENT HOLDINGS PLC","Materials","27/05/2021",33884715
"SRV","SERVCORP LIMITED","Real Estate Management & Development","06/12/1999",404507795
"SRX","SIERRA RUTILE HOLDINGS LIMITED","Materials","27/07/2022",55179009
"SRY","STORY-I LIMITED","Consumer Discretionary Distribution & Retail","20/01/2015","SUSPENDED"
"SRZ","STELLAR RESOURCES LIMITED","Materials","28/04/2005",32621430
"SS1","SUN SILVER LIMITED","Materials","15/05/2024",74360125
"SSG","SHAVER SHOP GROUP LIMITED","Consumer Discretionary Distribution & Retail","01/07/2016",150664368
"SSH","SSH GROUP LTD","Energy","17/09/2021",5008389
"SSL","SIETEL LIMITED","Real Estate Management & Development","01/01/1974",72067311
"SSM","SERVICE STREAM LIMITED","Capital Goods","09/12/2004",726824651
"SSR","SSR MINING INC.","Materials","17/09/2020",1737973613
"SST","STEAMSHIPS TRADING COMPANY LIMITED","Capital Goods","30/06/1962",502333439
"ST1","SPIRIT TECHNOLOGY SOLUTIONS LTD","Telecommunication Services","22/10/1999",57398006
"STA","STRANDLINE RESOURCES LIMITED","Materials","17/05/2000","SUSPENDED"
"STG","STRAKER LIMITED","Media & Entertainment","22/10/2018",33456435
"STK","STRICKLAND METALS LIMITED","Materials","06/04/2006",167466511
"STKNA","STRICKLAND METALS LIMITED","Materials","06/04/2006",167466511
"STM","SUNSTONE METALS LTD","Materials","22/03/2007",40379167
"STN","SATURN METALS LIMITED","Materials","09/03/2018",61600681
"STO","SANTOS LIMITED","Energy","01/10/1954",25007851800
"STP","STEP ONE CLOTHING LIMITED","Consumer Discretionary Distribution & Retail","01/11/2021",246502587
"STX","STRIKE ENERGY LIMITED","Energy","05/08/2004",600762376
"SUH","SOUTHERN HEMISPHERE MINING LIMITED","Materials","05/01/2010",26573659
"SUL","SUPER RETAIL GROUP LIMITED","Consumer Discretionary Distribution & Retail","06/07/2004",2958327150
"SUM","SUMMIT MINERALS LIMITED","Materials","05/08/2022",10703578
"SUN","SUNCORP GROUP LIMITED","Insurance","07/07/1988",20522458564
"SUV","SUVO STRATEGIC MINERALS LIMITED","Materials","17/05/2011",51212067
"SVG","SAVANNAH GOLDFIELDS LIMITED","Materials","02/04/1987",8713632
"SVL","SILVER MINES LIMITED","Materials","19/01/2007",309147433
"SVM","SOVEREIGN METALS LIMITED","Materials","22/01/2007",301206820
"SVR","SOLVAR LIMITED","Financial Services","19/10/2006",202767839
"SVW","SEVEN GROUP HOLDINGS LIMITED","Capital Goods","30/04/2010",15257602234
"SVY","STAVELY MINERALS LIMITED","Materials","07/05/2014",21006705
"SW1","SWIFT NETWORKS GROUP LIMITED","Media & Entertainment","30/06/1994",14883170
"SWF","SELFWEALTH LIMITED","Financial Services","23/11/2017",30459537
"SWM","SEVEN WEST MEDIA LIMITED","Media & Entertainment","09/01/1992",315523803
"SWP","SWOOP HOLDINGS LIMITED","Telecommunication Services","06/10/1988",41641787
"SXE","SOUTHERN CROSS ELECTRICAL ENGINEERING LTD","Capital Goods","28/11/2007",411931466
"SXG","SOUTHERN CROSS GOLD LTD","Materials","16/05/2022",572592906
"SXL","SOUTHERN CROSS MEDIA GROUP LIMITED","Media & Entertainment","17/11/2005",199116294
"SYA","SAYONA MINING LIMITED","Materials","30/03/2004",442611729
"SYR","SYRAH RESOURCES LIMITED","Materials","11/09/2007",441836192
"T3D","333D LIMITED","Commercial & Professional Services","27/12/2006",716670
"T88","TAITON RESOURCES LIMITED","Materials","19/12/2022",5256687
"T92","TERRA URANIUM LIMITED","Energy","08/09/2022",8125773
"TAH","TABCORP HOLDINGS LIMITED","Consumer Services","15/08/1994",1518626296
"TAL","TALIUS GROUP LIMITED","Software & Services","02/06/2006",20667337
"TAM","TANAMI GOLD NL","Materials","11/12/1986",41128397
"TAR","TARUGA MINERALS LIMITED","Materials","07/02/2012",6354241
"TAS","TASMAN RESOURCES LTD","Materials","18/12/2001",3563346
"TAT","TARTANA MINERALS LIMITED","Media & Entertainment","17/12/2004",6092366
"TBA","TOMBOLA GOLD LTD","Materials","03/05/2012","SUSPENDED"
"TBN","TAMBORAN RESOURCES CORPORATION","Energy","02/07/2021",401756004
"TBR","TRIBUNE RESOURCES LIMITED","Materials","04/05/1989",203576139
"TCF","360 CAPITAL MORTGAGE REIT","Not Applic","17/10/2006",21396871
"TCG","TURACO GOLD LIMITED","Materials","22/07/2008",168320000
"TCL","TRANSURBAN GROUP","Transportation","14/03/1996",37971915791
"TCO","TRANSMETRO CORPORATION LIMITED","Consumer Services","17/09/1987",23419862
"TD1","TALI DIGITAL LIMITED","Health Care Equipment & Services","23/09/2004",4942733
"TDO","3D ENERGI LIMITED","Energy","22/05/2007",22540202
"TEA","TASMEA LIMITED","Capital Goods","29/04/2024",344053137
"TEE","TOP END ENERGY LIMITED","Energy","04/04/2022",13054688
"TEG","TRIANGLE ENERGY (GLOBAL) LIMITED","Energy","06/01/2006",36269347
"TEK","THORNEY TECHNOLOGIES LTD","Not Applic","10/05/2005",56490172
"TEM","TEMPEST MINERALS LIMITED","Materials","28/03/2017",4672120
"TER","TERRACOM LIMITED","Energy","22/07/2010",188227065
"TFL","TASFOODS LIMITED","Food, Beverage & Tobacco","16/12/1999",7867719
"TG1","TECHGEN METALS LTD","Materials","07/04/2021",5509700
"TG6","TG METALS LIMITED","Materials","26/05/2022",19199036
"TGF","TRIBECA GLOBAL NATURAL RESOURCES LIMITED","Not Applic","12/10/2018",141825481
"TGH","TERRAGEN HOLDINGS LIMITED","Materials","11/12/2019",6643460
"TGM","THETA GOLD MINES LIMITED","Materials","07/04/2011",99615577
"TGN","TUNGSTEN MINING NL","Materials","17/12/2012",65272385
"TGP","360 CAPITAL GROUP","Financial Services","26/07/2005",140211290
"THB","THUNDERBIRD RESOURCES LIMITED","Materials","29/08/1997",6791765
"THL","TOURISM HOLDINGS RENTALS LIMITED","Transportation","02/12/2022",375345983
"THR","THOR ENERGY PLC","Materials","27/09/2006",4840932
"TI1","TOMBADOR IRON LIMITED","Materials","22/11/2004","SUSPENDED"
"TIA","TIAN AN AUSTRALIA LIMITED","Real Estate Management & Development","11/12/1985",19486987
"TIE","TIETTO MINERALS LIMITED","Materials","18/01/2018",768148602
"TIG","TIGERS REALM COAL LIMITED","Materials","29/08/2011",52266809
"TIP","TEAMINVEST PRIVATE GROUP LIMITED","Financial Services","24/05/2019",35834474
"TKL","TRAKA RESOURCES LIMITED","Materials","20/11/2003",2625988
"TKM","TREK METALS LIMITED","Materials","05/07/2007",19511969
"TLC","THE LOTTERY CORPORATION LIMITED","Consumer Services","24/05/2022",11351435685
"TLG","TALGA GROUP LTD","Materials","09/07/2010",301904567
"TLM","TALISMAN MINING LIMITED","Materials","25/11/2005",66853724
"TLS","TELSTRA GROUP LIMITED","Telecommunication Services","17/11/1997",41249305650
"TLX","TELIX PHARMACEUTICALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","15/11/2017",5142212960
"TM1","TERRA METALS LIMITED","Energy","20/12/2012",14197377
"TMB","TAMBOURAH METALS LTD","Materials","12/08/2021",6386407
"TMG","TRIGG MINERALS LIMITED","Materials","03/10/2019",3024915
"TMK","TMK ENERGY LIMITED","Energy","10/07/2008",20734836
"TML","TIMAH RESOURCES LIMITED","Utilities","16/09/2015",2662793
"TMR","TEMPUS RESOURCES LTD","Materials","15/08/2018",2923995
"TMS","TENNANT MINERALS LIMITED","Materials","17/08/2004",22941370
"TMX","TERRAIN MINERALS LIMITED","Materials","23/03/2006",5010847
"TMZ","THOMSON RESOURCES LIMITED","Materials","17/12/2010","SUSPENDED"
"TNC","TRUE NORTH COPPER LIMITED","Materials","10/11/2020",43538672
"TNE","TECHNOLOGY ONE LIMITED","Software & Services","08/12/1999",5455077556
"TNY","TINYBEANS GROUP LTD","Media & Entertainment","21/04/2017",6698013
"TOE","TORO ENERGY LIMITED","Energy","24/03/2006",48112739
"TOK","TOLU MINERALS LIMITED.","Class Pend","10/11/2023",69137577
"TON","TRITON MINERALS LTD","Materials","14/08/2009",18736712
"TOP","THORNEY OPPORTUNITIES LTD","Not Applic","22/03/2000",124221775
"TOR","TORQUE METALS LIMITED..","Materials","25/06/2021",38478048
"TOT","360 CAPITAL REIT","Equity Real Estate Investment Trusts (REITs)","22/04/2015",84964207
"TOU","TLOU ENERGY LIMITED","Energy","09/04/2013",45724797
"TOY","TOYS'R'US ANZ LIMITED","Consumer Discretionary Distribution & Retail","14/09/2000",9815969
"TPC","TPC CONSOLIDATED LIMITED","Utilities","16/07/2007",128287713
"TPG","TPG TELECOM LIMITED.","Telecommunication Services","30/06/2020",8720312428
